team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
PIT,2021,PIT,PIT,Team Level,other,82,0.51,0.49,0.5,10339.0,158.08,37.96,10.58,27.09,5.17,80.04,56.16,36.99,37.96,36.99,169.0,48.0,54.0,271.0,43.0,8.0,4.0,29.0,7.0,48.0,82.0,126.0,174.0,8.0,18.0,134.0,34.0,29.0,44.0,118.0,51.0,48.0,5.35,6.0,26.61,7.0,5.0,31.0,271.0,217.0,217.0,18.0,3.02,1.81,1.81,39.18,39.18,38.34,159.73,36.53,11.29,26.7,4.84,80.78,55.87,35.42,36.53,35.42,157.0,59.0,62.0,278.0,32.0,7.0,3.0,29.0,8.0,69.0,71.0,125.0,184.0,9.0,18.0,117.0,37.0,23.0,30.0,106.0,62.0,48.0,4.26,7.68,24.6,4.0,6.0,22.0,278.0,216.0,216.0,11.0,3.31,2.33,2.33,37.51,37.51,36.68
PIT,2021,PIT,PIT,Team Level,all,82,0.53,0.52,0.53,299558.0,2758.55,274.0,194.91,618.55,88.83,1523.82,1109.9,260.94,276.83,263.61,2850.0,960.0,1092.0,4902.0,269.0,232.0,40.0,580.0,90.0,1219.0,1421.0,2581.0,3541.0,249.0,546.0,2361.0,2010.0,652.0,668.0,2770.0,782.0,258.0,83.93,95.01,95.05,80.0,109.0,80.0,4969.06,3810.0,3852.66,318.0,42.81,50.95,51.84,264.97,267.55,261.13,2491.57,239.78,169.4,568.04,81.99,1355.65,1013.14,230.64,239.45,230.35,2577.0,851.0,1094.0,4522.0,222.0,211.0,32.0,573.0,85.0,1042.0,1295.0,2355.0,3206.0,284.0,618.0,2258.0,2187.0,614.0,604.0,2533.0,647.0,248.0,71.93,78.72,89.14,69.0,77.0,76.0,4498.42,3428.0,3415.13,311.0,37.32,45.91,45.91,231.2,231.01,226.24
PIT,2021,PIT,PIT,Team Level,5on5,82,0.53,0.52,0.53,247079.0,2191.71,184.03,147.46,511.79,70.12,1213.11,905.49,177.38,186.88,180.06,2257.0,775.0,874.0,3906.0,180.0,168.0,30.0,478.0,66.0,991.0,1150.0,2077.0,2852.0,219.0,486.0,1828.0,1861.0,551.0,515.0,2294.0,590.0,148.0,69.65,72.28,42.1,65.0,84.0,31.0,3973.06,3032.0,3074.66,260.0,30.44,35.84,35.84,178.63,181.2,177.96,1960.56,160.12,128.55,468.66,65.12,1069.25,805.3,155.31,159.79,155.03,2048.0,649.0,901.0,3598.0,154.0,172.0,21.0,482.0,64.0,796.0,1029.0,1894.0,2543.0,250.0,546.0,1779.0,2058.0,520.0,500.0,2047.0,505.0,145.0,58.36,61.45,40.32,59.0,63.0,32.0,3574.42,2697.0,2684.13,277.0,26.53,32.98,32.98,153.68,153.48,151.33
PIT,2021,PIT,PIT,Team Level,4on5,82,0.12,0.13,0.15,19891.0,52.93,4.71,2.79,7.2,1.65,17.65,39.0,4.62,4.71,4.62,63.0,10.0,8.0,81.0,3.0,1.0,0.0,6.0,6.0,10.0,47.0,60.0,70.0,5.0,10.0,155.0,79.0,48.0,34.0,53.0,13.0,7.0,1.3,1.6,1.81,1.0,1.0,1.0,81.0,73.0,73.0,33.0,0.65,0.22,0.22,5.13,5.13,5.05,289.62,34.74,25.53,61.9,9.7,181.16,95.97,31.59,34.74,31.59,285.0,124.0,121.0,530.0,29.0,31.0,8.0,50.0,12.0,159.0,128.0,256.0,380.0,14.0,30.0,190.0,17.0,17.0,53.0,310.0,54.0,45.0,7.02,6.13,21.59,3.0,6.0,20.0,530.0,409.0,409.0,4.0,6.54,10.35,10.35,30.92,30.92,29.2
PIT,2021,PIT,PIT,Team Level,5on4,82,0.85,0.85,0.82,22249.0,355.83,47.3,34.08,72.46,11.9,213.01,109.26,41.96,47.3,41.96,361.0,127.0,156.0,644.0,43.0,55.0,6.0,67.0,11.0,170.0,142.0,318.0,445.0,17.0,32.0,244.0,36.0,24.0,75.0,305.0,128.0,55.0,7.63,15.13,24.54,7.0,19.0,17.0,644.0,488.0,488.0,7.0,8.71,13.07,13.97,42.03,42.03,39.77,81.66,8.39,4.03,10.79,2.32,24.46,56.01,8.31,8.39,8.31,87.0,19.0,10.0,116.0,7.0,1.0,0.0,12.0,1.0,18.0,67.0,80.0,99.0,11.0,24.0,172.0,75.0,54.0,21.0,70.0,26.0,10.0,2.3,3.45,2.64,3.0,2.0,2.0,116.0,106.0,106.0,19.0,0.95,0.24,0.24,9.1,9.1,9.02
NSH,2021,NSH,NSH,Team Level,other,82,0.47,0.42,0.44,13454.0,156.08,34.97,11.35,27.3,5.59,86.07,54.71,33.8,34.97,33.8,151.0,69.0,56.0,276.0,34.0,7.0,0.0,32.0,8.0,81.0,58.0,117.0,186.0,7.0,14.0,166.0,45.0,24.0,37.0,113.0,66.0,41.0,4.45,8.06,22.46,7.0,11.0,16.0,276.0,220.0,220.0,15.0,3.23,2.41,2.41,35.79,35.79,34.81,201.84,40.14,15.09,35.17,6.97,118.39,67.22,37.09,40.14,37.09,206.0,77.0,99.0,382.0,36.0,12.0,1.0,45.0,8.0,109.0,73.0,170.0,247.0,6.0,12.0,172.0,43.0,22.0,28.0,145.0,90.0,48.0,5.42,10.73,23.99,6.0,8.0,22.0,382.0,283.0,283.0,12.0,4.44,3.38,3.38,41.2,41.2,38.78
NSH,2021,NSH,NSH,Team Level,all,82,0.49,0.49,0.49,298641.0,2447.36,251.48,173.32,546.73,83.03,1405.29,997.16,242.8,252.6,243.89,2440.0,1017.0,1046.0,4503.0,262.0,173.0,38.0,601.0,83.0,1119.0,1219.0,2178.0,3195.0,375.0,935.0,2495.0,2470.0,535.0,764.0,2519.0,711.0,227.0,79.67,85.18,86.63,82.0,92.0,88.0,4519.3,3457.0,3466.91,363.0,38.51,37.68,37.68,252.32,253.07,247.13,2592.78,259.4,185.01,571.43,85.4,1481.63,1036.13,248.36,259.72,248.67,2647.0,972.0,1160.0,4779.0,250.0,159.0,26.0,636.0,112.0,1174.0,1288.0,2397.0,3369.0,350.0,888.0,2374.0,1991.0,569.0,683.0,2655.0,725.0,239.0,82.8,88.36,88.25,77.0,88.0,85.0,4775.74,3619.0,3618.67,378.0,41.5,35.64,35.69,265.22,265.48,257.01
NSH,2021,NSH,NSH,Team Level,5on5,82,0.5,0.5,0.5,236018.0,1888.06,158.2,128.83,443.03,63.82,1084.49,792.62,153.91,159.31,155.0,1878.0,793.0,823.0,3494.0,165.0,133.0,26.0,484.0,68.0,859.0,962.0,1713.0,2506.0,335.0,851.0,1847.0,2328.0,440.0,606.0,2038.0,514.0,119.0,63.77,62.16,32.26,63.0,67.0,35.0,3510.3,2671.0,2680.91,305.0,26.67,26.5,26.5,158.36,159.11,156.74,1911.64,158.48,129.39,443.82,62.53,1087.29,794.5,154.58,158.8,154.88,1955.0,721.0,863.0,3539.0,156.0,104.0,16.0,494.0,81.0,827.0,1014.0,1799.0,2520.0,314.0,807.0,1797.0,1840.0,470.0,558.0,2055.0,504.0,117.0,65.27,61.38,31.84,58.0,66.0,32.0,3535.74,2676.0,2675.67,330.0,26.76,22.68,22.73,162.51,162.77,160.25
NSH,2021,NSH,NSH,Team Level,4on5,82,0.08,0.1,0.11,25976.0,51.86,4.54,2.67,7.15,1.54,16.76,37.36,4.47,4.54,4.47,51.0,19.0,12.0,82.0,2.0,0.0,0.0,5.0,1.0,11.0,51.0,49.0,68.0,18.0,39.0,238.0,68.0,51.0,39.0,50.0,18.0,2.0,1.7,2.15,0.69,1.0,1.0,0.0,82.0,70.0,70.0,35.0,0.61,0.0,0.0,5.15,5.15,5.07,416.93,53.28,37.07,83.78,13.77,256.45,132.64,49.49,53.28,49.49,414.0,163.0,186.0,763.0,53.0,40.0,8.0,89.0,22.0,226.0,147.0,361.0,524.0,23.0,52.0,236.0,35.0,20.0,60.0,405.0,107.0,65.0,10.46,13.13,29.69,11.0,13.0,29.0,763.0,577.0,577.0,4.0,9.51,8.61,8.61,54.2,54.2,50.7
NSH,2021,NSH,NSH,Team Level,5on4,82,0.88,0.87,0.86,23193.0,351.37,53.77,30.46,69.27,12.07,217.95,112.48,50.62,53.77,50.62,360.0,136.0,155.0,651.0,61.0,33.0,12.0,80.0,6.0,168.0,148.0,299.0,435.0,15.0,31.0,244.0,29.0,20.0,82.0,318.0,113.0,65.0,9.74,12.81,31.22,11.0,13.0,37.0,651.0,496.0,496.0,8.0,8.02,8.77,8.77,53.02,53.02,50.51,62.37,7.5,3.47,8.65,2.13,19.5,41.75,7.2,7.5,7.2,72.0,11.0,12.0,95.0,5.0,3.0,1.0,8.0,1.0,12.0,54.0,67.0,78.0,7.0,17.0,169.0,73.0,57.0,37.0,50.0,24.0,9.0,1.65,3.12,2.72,2.0,1.0,2.0,95.0,83.0,83.0,32.0,0.8,0.98,0.98,7.31,7.31,7.29
VGK,2021,VGK,VGK,Team Level,other,82,0.51,0.53,0.51,9464.0,150.76,36.13,11.34,25.77,4.89,82.1,47.76,32.95,36.13,32.95,167.0,41.0,81.0,289.0,34.0,15.0,2.0,24.0,10.0,72.0,53.0,133.0,174.0,3.0,6.0,149.0,32.0,38.0,19.0,112.0,45.0,51.0,4.55,5.31,26.28,8.0,9.0,17.0,289.0,208.0,208.0,10.0,3.25,5.23,5.23,34.15,34.15,32.43,145.64,34.8,9.95,26.25,4.92,74.31,50.75,32.48,34.8,32.48,144.0,57.0,59.0,260.0,26.0,18.0,4.0,23.0,6.0,61.0,67.0,118.0,175.0,8.0,16.0,106.0,34.0,27.0,19.0,109.0,41.0,51.0,4.16,5.19,25.45,5.0,3.0,18.0,260.0,201.0,201.0,5.0,2.92,4.77,4.77,32.95,32.95,31.27
VGK,2021,VGK,VGK,Team Level,all,82,0.51,0.52,0.53,298785.0,2742.27,266.57,193.39,639.68,90.14,1526.72,1106.52,254.64,267.9,255.94,2830.0,993.0,1241.0,5064.0,262.0,236.0,35.0,640.0,112.0,1268.0,1305.0,2568.0,3561.0,250.0,556.0,2348.0,1680.0,742.0,723.0,2793.0,756.0,274.0,80.11,92.47,93.98,85.0,94.0,83.0,5098.31,3823.0,3841.29,362.0,42.43,51.13,51.13,257.87,259.36,252.9,2424.25,252.35,170.59,547.57,79.0,1333.71,973.79,242.05,252.53,242.21,2459.0,898.0,1310.0,4667.0,244.0,213.0,47.0,454.0,87.0,1072.0,1287.0,2215.0,3113.0,246.0,559.0,2412.0,2534.0,676.0,659.0,2384.0,700.0,273.0,68.69,87.13,96.51,80.0,86.0,78.0,4653.19,3357.0,3352.81,325.0,37.69,49.64,49.68,240.36,239.97,234.34
VGK,2021,VGK,VGK,Team Level,5on5,82,0.52,0.53,0.54,249146.0,2218.38,188.51,149.72,537.57,72.98,1233.71,917.52,181.6,189.84,182.9,2279.0,821.0,1047.0,4147.0,183.0,179.0,24.0,558.0,89.0,1032.0,1059.0,2096.0,2917.0,232.0,520.0,1860.0,1582.0,630.0,615.0,2306.0,625.0,169.0,65.95,75.92,46.65,70.0,73.0,40.0,4181.31,3100.0,3118.29,325.0,30.97,36.35,36.57,182.9,184.38,180.86,1919.46,170.93,130.04,451.31,62.67,1059.72,788.32,165.02,171.12,165.19,1954.0,709.0,1077.0,3740.0,166.0,157.0,32.0,380.0,69.0,847.0,1044.0,1788.0,2497.0,221.0,509.0,1953.0,2401.0,567.0,561.0,1945.0,555.0,163.0,56.53,69.08,45.31,65.0,68.0,33.0,3726.19,2663.0,2658.81,295.0,26.93,33.36,33.36,164.51,164.11,161.6
VGK,2021,VGK,VGK,Team Level,4on5,82,0.14,0.12,0.15,19173.0,57.25,6.28,2.87,7.6,1.67,17.25,39.32,6.23,6.28,6.23,64.0,11.0,3.0,78.0,9.0,1.0,1.0,6.0,0.0,12.0,47.0,55.0,66.0,7.0,14.0,145.0,44.0,47.0,21.0,47.0,19.0,9.0,1.39,2.41,2.48,2.0,3.0,4.0,78.0,75.0,75.0,20.0,0.66,0.25,0.25,6.68,6.68,6.67,298.19,40.02,27.47,61.6,9.58,181.08,92.25,38.03,40.02,38.03,295.0,117.0,161.0,573.0,46.0,35.0,10.0,49.0,12.0,153.0,117.0,249.0,366.0,11.0,22.0,193.0,29.0,17.0,56.0,278.0,85.0,49.0,6.6,10.32,23.1,9.0,13.0,24.0,573.0,412.0,412.0,4.0,7.13,10.8,10.8,36.33,36.33,34.92
VGK,2021,VGK,VGK,Team Level,5on4,82,0.84,0.85,0.84,21002.0,315.88,35.65,29.47,68.74,10.58,193.66,101.91,33.86,35.65,33.86,320.0,120.0,110.0,550.0,36.0,41.0,8.0,52.0,13.0,152.0,146.0,284.0,404.0,8.0,16.0,194.0,22.0,27.0,68.0,328.0,67.0,45.0,8.23,8.84,18.58,5.0,9.0,22.0,550.0,440.0,440.0,7.0,7.55,9.29,9.07,34.14,34.14,32.94,60.96,6.59,3.13,8.39,1.83,18.6,42.47,6.52,6.59,6.52,66.0,15.0,13.0,94.0,6.0,3.0,1.0,2.0,0.0,11.0,59.0,60.0,75.0,6.0,12.0,160.0,70.0,65.0,23.0,52.0,19.0,10.0,1.4,2.54,2.66,1.0,2.0,3.0,94.0,81.0,81.0,21.0,0.73,0.71,0.75,6.57,6.57,6.53
